code_tract,pop_abs,pop_mulheres,perc_mulheres,pop_homens,perc_homens,idade_mediana,idade_media
330100905060001,523,296,0.5659655831739961,227,0.4340344168260038,45.88607594936709,43.88623326959847
330100905060002,498,283,0.5682730923694779,215,0.43172690763052207,41,39.72289156626506
330100905060003,448,242,0.5401785714285714,206,0.45982142857142855,38.91891891891892,39.578125
330100905060004,217,125,0.576036866359447,92,0.423963133640553,51.09756097560975,46.836405529953915
330100905060005,501,276,0.5508982035928144,225,0.4491017964071856,44.779411764705884,43.3313373253493
330100905060007,172,88,0.5116279069767442,84,0.4883720930232558,43.80952380952381,43.78779069767442
330100905060008,326,212,0.6503067484662577,114,0.3496932515337423,48.92857142857143,46.421779141104295
330100905060009,396,230,0.5808080808080808,166,0.41919191919191917,40.97560975609756,42.042929292929294
330100905060012,348,193,0.5545977011494253,155,0.4454022988505747,40.483870967741936,38.80603448275862
330100905060014,287,161,0.5609756097560976,126,0.43902439024390244,50.68627450980392,46.400696864111495
330100905060016,309,177,0.5728155339805825,132,0.42718446601941745,43.47222222222222,42.726537216828476
330100905060017,384,186,0.484375,198,0.515625,48.19444444444444,45.580729166666664
330100905060018,NA,NA,NA,NA,NA,NA,NA
330100905060019,291,166,0.570446735395189,125,0.42955326460481097,49.125,46.450171821305844
330100905060020,498,272,0.5461847389558233,226,0.4538152610441767,49.10714285714286,46.16465863453815
330100905060021,350,234,0.6685714285714286,116,0.3314285714285714,47.567567567567565,46.98275862068966
330100905060022,214,121,0.5654205607476636,93,0.43457943925233644,55.39473684210526,51.194835680751176
330100905060023,380,209,0.55,171,0.45,40.90909090909091,40.96842105263158
330100905060024,319,170,0.5329153605015674,149,0.4670846394984326,46.89189189189189,44.86520376175549
330100905060025,425,227,0.5341176470588235,198,0.46588235294117647,33.9873417721519,34.67176470588235
330100905060026,292,168,0.5753424657534246,124,0.4246575342465753,42.42424242424242,41.64554794520548
330100905060027,388,216,0.5567010309278351,172,0.44329896907216493,46.607142857142854,44.384020618556704
330100905060030,553,301,0.5443037974683544,252,0.45569620253164556,24.67857142857143,27.812839059674502
330100905060031,512,295,0.576171875,217,0.423828125,38.08988764044944,40.1650390625
330100905060032,492,249,0.5060975609756098,243,0.49390243902439024,25.217391304347824,27.60569105691057
330100905060033,173,93,0.5375722543352601,80,0.4624277456647399,23.653846153846153,28.095375722543352
330100905060034,412,224,0.5436893203883495,188,0.4563106796116505,39.54545454545455,39.60436893203884
330100905060035,529,295,0.55765595463138,234,0.44234404536862004,42.756410256410255,41.84404536862004
330100905060036,436,251,0.5756880733944955,185,0.4243119266055046,43.77777777777778,41.772935779816514
330100905060037,354,186,0.5254237288135594,168,0.4745762711864407,42.78688524590164,41.529661016949156
330100905060038,468,248,0.5299145299145299,220,0.4700854700854701,43.013698630136986,41.59188034188034
330100905060043,428,229,0.5350467289719626,199,0.4649532710280374,43.55555555555556,42.5677570093458
330100905060044,584,308,0.5273972602739726,276,0.4726027397260274,41.34020618556701,39.78167808219178
330100905060046,377,223,0.5915119363395226,154,0.40848806366047746,38.75,39.16445623342175
330100905060047,468,271,0.5790598290598291,197,0.42094017094017094,40.985915492957744,40.33119658119658
330100905060048,127,68,0.5354330708661418,59,0.4645669291338583,26.73076923076923,29.72047244094488
330100905060049,133,67,0.5037593984962406,66,0.49624060150375937,42.166666666666664,39.943609022556394
330100905060053,562,295,0.5249110320284698,267,0.4750889679715303,45.14563106796116,42.94750889679715
330100905060056,397,211,0.5314861460957179,186,0.46851385390428213,37.549019607843135,37.90176322418136
330100905060057,866,439,0.5069284064665127,427,0.4930715935334873,41.86991869918699,41.546189376443415
330100905060058,392,214,0.5459183673469388,178,0.45408163265306123,43.65384615384615,42.68494897959184
330100905060059,562,288,0.5124555160142349,274,0.4875444839857651,45.16129032258065,44.18594306049822
330100905060060,968,512,0.5289256198347108,456,0.47107438016528924,25.394736842105264,28.100206611570247
330100905060061,670,342,0.5104477611940299,328,0.48955223880597015,23.223684210526315,26.171641791044777
330100905060063,736,392,0.532608695652174,344,0.4673913043478261,33.75,33.70448369565217
330100905060064,533,288,0.5403377110694184,245,0.4596622889305816,32.11538461538461,34.112570356472794
330100905060067,441,253,0.5736961451247166,188,0.42630385487528344,40.982142857142854,39.981859410430836
330100905060072,456,223,0.48903508771929827,233,0.5109649122807017,39.26470588235294,39.58991228070175
330100905060073,765,392,0.5124183006535947,373,0.4875816993464052,36.041666666666664,37.1797385620915
330100905060074,845,433,0.5124260355029586,412,0.48757396449704143,37.31060606060606,37.842603550295856
330100905060075,241,119,0.49377593360995853,122,0.5062240663900415,37.083333333333336,37.510373443983404
330100905060076,351,183,0.5213675213675214,168,0.47863247863247865,33.229166666666664,34.86182336182336
330100905060077,293,148,0.5051194539249146,145,0.4948805460750853,31.216216216216218,33.77303754266212
330100905060079,599,309,0.5158597662771286,290,0.48414023372287146,33.50574712643678,34.52170283806344
330100905060080,497,250,0.5030181086519114,247,0.4969818913480885,32.10227272727273,33.34708249496982
330100905060081,373,212,0.5683646112600537,161,0.4316353887399464,45.3,43.81367292225201
330100905060083,522,275,0.5268199233716475,247,0.4731800766283525,36.77777777777778,37.20593869731801
330100905060084,456,254,0.5570175438596491,202,0.44298245614035087,35.47945205479452,35.52850877192982
330100905060086,549,298,0.5428051001821493,251,0.45719489981785066,37.03389830508475,36.52276867030965
330100905060087,233,131,0.5622317596566524,102,0.43776824034334766,42.5,40.427038626609445
330100905060091,272,150,0.5514705882352942,122,0.4485294117647059,28.333333333333332,30.751838235294116
330100905060092,201,109,0.5422885572139303,92,0.4577114427860697,35.39473684210526,34.54477611940298
330100905060094,118,69,0.5847457627118644,49,0.4152542372881356,37.5,36.16949152542373
330100905060095,845,437,0.5171597633136095,408,0.48284023668639053,29.823943661971832,31.21715976331361
330100905060098,151,90,0.5960264900662252,61,0.40397350993377484,38.166666666666664,41.9271523178808
330100905060100,810,413,0.5098765432098765,397,0.4901234567901235,30.32,31.86111111111111
330100905060101,149,89,0.5973154362416108,60,0.40268456375838924,55,49.53741496598639
330100905060102,583,312,0.5351629502572899,271,0.4648370497427101,37.247191011235955,36.05831903945111
330100905060103,293,160,0.5460750853242321,133,0.4539249146757679,43.38709677419355,44.09726962457338
330100905060104,751,404,0.5379494007989347,347,0.4620505992010652,36.17424242424242,34.26364846870839
330100905060105,1060,554,0.5226415094339623,506,0.47735849056603774,34.82954545454545,34.63867924528302
330100905060106,595,331,0.5563025210084034,264,0.4436974789915966,39.62765957446808,38.108403361344536
330100905060107,385,212,0.5506493506493506,173,0.44935064935064933,42.583333333333336,41.797402597402595
330100905060108,499,267,0.5350701402805611,232,0.4649298597194389,38.35714285714286,38.44188376753507
330100905060109,473,256,0.5412262156448203,217,0.4587737843551797,37.45,39.41860465116279
330100905060110,458,241,0.5262008733624454,217,0.4737991266375546,40.5,39.717248908296945
330100905060112,394,203,0.5152284263959391,191,0.4847715736040609,44.31372549019608,40.56091370558376
330100905060113,686,356,0.5189504373177842,330,0.48104956268221577,40,36.84548104956268
330100905060115,350,191,0.5457142857142857,159,0.4542857142857143,31.70212765957447,31.057142857142857
330100905060116,313,164,0.5239616613418531,149,0.476038338658147,31.117021276595743,30.736421725239616
330100905060117,315,152,0.48253968253968255,163,0.5174603174603175,31.54255319148936,31.046031746031748
330100905060118,384,200,0.5208333333333334,184,0.4791666666666667,30.43103448275862,28.84375
330100905060119,382,195,0.5104712041884817,187,0.4895287958115183,31.363636363636363,29.962041884816752
330100905060120,360,193,0.5361111111111111,167,0.4638888888888889,31.71171171171171,31.95277777777778
330100905060121,381,197,0.5170603674540682,184,0.48293963254593175,38.214285714285715,36.08136482939633
330100905060122,751,372,0.49533954727030627,379,0.5046604527296937,33.663101604278076,31.905459387483354
330100905060125,966,512,0.5300207039337475,454,0.4699792960662526,25.301204819277107,28.553312629399585
